Ваш SKU *,Название группы вариантов,Название товара *,Бренд *,Применение,Назначение,Название сервиса,Вид поставки,Платформа,Совместимость с ОС,Сервис активации,Номинал карты,Продолжительность подписки,Территория активации,Бонусы,Жанр игры,Количество подключаемых аккаунтов,Возрастное ограничение,Инструкция по активации,Дополнительная информация,Активация после покупки,"Количество упаковок в товаре, шт.",Территория использования
GFT628,Подарочная карта Mobily Data Саудовская Аравия,Подарочная карта Mobily Data на 368 Саудовских риял | Саудовская Аравия | Оригинальный код,Нет бренда,пополнение счета,мобильный интернет,Mobily,электронный ключ,мобильное устройство,"iOS,Android",Mobily,368,99 лет,Саудовская Аравия,,,1,18+,,только для аккаунтов Саудовской Аравии,бессрочно,,Саудовская Аравия
GFT629,Подарочная карта Mobily Data Саудовская Аравия,Подарочная карта Mobily Data на 517.50 Саудовских риял | Саудовская Аравия | Оригинальный код,Нет бренда,пополнение счета,мобильный интернет,Mobily,электронный ключ,мобильное устройство,"iOS,Android",Mobily,517.5,99 лет,Саудовская Аравия,,,1,18+,,только для аккаунтов Саудовской Аравии,бессрочно,,Саудовская Аравия
GFT624,Подарочная карта Mobily Data Саудовская Аравия,Подарочная карта Mobily Data на 57.5 Саудовских риял | Саудовская Аравия | Оригинальный код,Нет бренда,пополнение счета,мобильная связь,Mobily,электронный ключ,мобильное устройство,"iOS,Android",Mobily,57.5,99 лет,Саудовская Аравия,,,1,18+,,только для аккаунтов Саудовской Аравии,бессрочно,,Саудовская Аравия
GFT621,Подарочная карта Mobily Саудовская Аравия,Подарочная карта Mobily на 115 Саудовских риял | Саудовская Аравия,Нет бренда,пополнение счета,мобильная связь,Mobily,электронный ключ,мобильное устройство,"iOS,Android",Mobily,115,99 лет,Саудовская Аравия,,,1,18+,,только для аккаунтов Саудовской Аравии,бессрочно,,Саудовская Аравия
GFT617,Подарочная карта Mobily Саудовская Аравия,Подарочная карта Mobily на 20 Саудовских риял | Саудовская Аравия,Нет бренда,пополнение счета,мобильная связь,Mobily,электронный ключ,мобильное устройство,"iOS,Android",Mobily,20,99 лет,Саудовская Аравия,,,1,18+,,только для аккаунтов Саудовской Аравии,бессрочно,,Саудовская Аравия
GFT622,Подарочная карта Mobily Саудовская Аравия,Подарочная карта Mobily на 230 Саудовских риял | Саудовская Аравия | Оригинальный код,Нет бренда,пополнение счета,мобильная связь,Mobily,электронный ключ,мобильное устройство,"iOS,Android",Mobily,230,99 лет,Саудовская Аравия,,,1,18+,,только для аккаунтов Саудовской Аравии,бессрочно,,Саудовская Аравия
GFT618,Подарочная карта Mobily Саудовская Аравия,Подарочная карта Mobily на 25 Саудовских риял | Саудовская Аравия,Нет бренда,пополнение счета,мобильная связь,Mobily,электронный ключ,мобильное устройство,"iOS,Android",Mobily,25,99 лет,Саудовская Аравия,,,1,18+,,только для аккаунтов Саудовской Аравии,бессрочно,,Саудовская Аравия
GFT619,Подарочная карта Mobily Саудовская Аравия,Подарочная карта Mobily на 34.50 Саудовских риял | Саудовская Аравия,Нет бренда,пополнение счета,мобильная связь,Mobily,электронный ключ,мобильное устройство,"iOS,Android",Mobily,34.5,99 лет,Саудовская Аравия,,,1,18+,,только для аккаунтов Саудовской Аравии,бессрочно,,Саудовская Аравия
GFT623,Подарочная карта Mobily Саудовская Аравия,Подарочная карта Mobily на 395 Саудовских риял | Саудовская Аравия | Оригинальный код,Нет бренда,пополнение счета,мобильная связь,Mobily,электронный ключ,мобильное устройство,"iOS,Android",Mobily,395,99 лет,Саудовская Аравия,,,1,18+,,только для аккаунтов Саудовской Аравии,бессрочно,,Саудовская Аравия
GFT620,Подарочная карта Mobily Саудовская Аравия,Подарочная карта Mobily на 57.50 Саудовских риял | Саудовская Аравия | Оригинальный код,Нет бренда,пополнение счета,мобильная связь,Mobily,электронный ключ,мобильное устройство,"iOS,Android",Mobily,57.5,99 лет,Саудовская Аравия,,,1,18+,,только для аккаунтов Саудовской Аравии,бессрочно,,Саудовская Аравия
